tools (comparison order: row x column),M100-C000_CRA_C,M100-C100_CRA_C,M100-C010_CRA_C,M100-C010-R_CRA_C,M100-C020-R_CRA_C,M100-C030-R_CRA_C,M090-C010-R_CRA_C,M080-C010-R_CRA_C,M100-C020_CRA_C,M100-C040_CRA_C,M100-C060_CRA_C,M100-C040-R_CRA_C,M100-C060-R_CRA_C,M090-C020-R_CRA_C,M080-C020-R_CRA_C
M090-C010-R_CRA_C P Value,6.802337459976826E-8,2.8719471245608474E-11,2.4934439735169178E-8,8.1210731472936E-9,1.94330129765774E-9,1.2291146989085178E-9,1.0,0.30417681801970364,2.7141182079581938E-8,8.700567166730622E-8,2.5832395987857026E-6,1.94330129765774E-9,4.3733050514305205E-9,0.021089946407876425,0.2804704772772293
M090-C010-R_CRA_C Cohen D,Large,Large,Large,Large,Large,Large,0.0,0.1237484937186844,Large,Large,Large,Large,Large,Small,0.01703869632478903
M090-C010-R_CRA_C Cliff's delta,-0.8111111111111111,1.0,-0.8377777777777777,-0.8666666666666667,-0.9022222222222223,-0.9133333333333333,0.0,-0.15444444444444444,-0.8355555555555556,-0.8044444444444444,-0.7066666666666667,-0.9022222222222223,-0.8822222222222222,-0.3466666666666667,-0.1622222222222222
M080-C010-R_CRA_C P Value,4.4029946355550464E-10,2.8719471245608474E-11,5.2283177787160184E-11,3.878719567751432E-11,3.5097591499777536E-11,3.175215645967455E-11,0.30417681801970364,1.0,1.2657952463968059E-10,8.562994757710385E-11,5.70908487151911E-9,3.175215645967455E-11,3.878719567751432E-11,0.2088709239186618,0.35933426453934403
M080-C010-R_CRA_C Cohen D,Large,Large,Large,Large,Large,Large,0.1237484937186844,0.0,Large,Large,Large,Large,Large,Small,0.13183069311787213
M080-C010-R_CRA_C Cliff's delta,-0.9377777777777778,1.0,-0.9866666666666667,-0.9933333333333333,-0.9955555555555555,-0.9977777777777778,0.15444444444444444,0.0,-0.9666666666666667,-0.9755555555555555,-0.8755555555555555,-0.9977777777777778,-0.9933333333333333,-0.18888888888888888,-0.13777777777777778
M100-C020_CRA_C P Value,0.8360239504893114,2.8719471245608474E-11,0.847587480259332,0.09479279235540516,0.008874707243582192,6.728295058485712E-4,2.7141182079581938E-8,1.2657952463968059E-10,1.0,0.5843624220907104,0.002688839981756508,0.012469625319240007,0.08106110555538915,1.930892434831577E-8,9.313468884997178E-10
M100-C020_CRA_C Cohen D,0.01297354790002661,Large,0.1123976520266097,Small,Medium,Large,Large,Large,0.0,0.07959613120130235,Medium,Medium,Medium,Large,Large
M100-C020_CRA_C Cliff's delta,-0.03111111111111111,1.0,-0.028888888888888888,-0.2511111111111111,-0.3933333333333333,-0.5111111111111111,0.8355555555555556,0.9666666666666667,0.0,0.08222222222222222,0.45111111111111113,-0.37555555555555553,-0.26222222222222225,0.8444444444444444,0.92
M100-C040_CRA_C P Value,0.3671365812484356,2.8719471245608474E-11,0.4246622046508919,0.010536525258653229,4.336778335062297E-4,3.056599868356269E-5,8.700567166730622E-8,8.562994757710385E-11,0.5843624220907104,1.0,0.0052019215404482955,6.728295058485712E-4,0.00712883007556131,2.103121132801533E-8,6.414635489448983E-10
M100-C040_CRA_C Cohen D,0.0862220793465217,Large,Small,Medium,Large,Large,Large,Large,0.07959613120130235,0.0,Medium,Large,Medium,Large,Large
M100-C040_CRA_C Cliff's delta,-0.13555555555555557,1.0,-0.12,-0.3844444444444444,-0.5288888888888889,-0.6266666666666667,0.8044444444444444,0.9755555555555555,-0.08222222222222222,0.0,0.42,-0.5111111111111111,-0.40444444444444444,0.8422222222222222,0.9288888888888889
M100-C060_CRA_C P Value,0.0025611401322137572,2.8719471245608474E-11,0.0012045979432564469,8.010747602926749E-6,8.513441062119043E-7,7.38550419709938E-8,2.5832395987857026E-6,5.70908487151911E-9,0.002688839981756508,0.0052019215404482955,1.0,5.388954837926008E-7,4.914908594111367E-6,2.7769585786430184E-6,4.2752810314183876E-7
M100-C060_CRA_C Cohen D,Medium,Large,Large,Large,Large,Large,Large,Large,Medium,Medium,0.0,Large,Large,Large,Large
M100-C060_CRA_C Cliff's delta,-0.4533333333333333,1.0,-0.4866666666666667,-0.6711111111111111,-0.74,-0.8088888888888889,0.7066666666666667,0.8755555555555555,-0.45111111111111113,-0.42,0.0,-0.7533333333333333,-0.6866666666666666,0.7044444444444444,0.76
M100-C040-R_CRA_C P Value,0.020278491165597767,2.8719471245608474E-11,0.015958584261266173,0.26750270341605387,0.7787839689422887,0.2488343839781535,1.94330129765774E-9,3.175215645967455E-11,0.012469625319240007,6.728295058485712E-4,5.388954837926008E-7,1.0,0.38305504584585626,1.773927782444673E-9,6.373035432716279E-11
M100-C040-R_CRA_C Cohen D,Medium,Large,Medium,Small,0.02882940183905627,Small,Large,Large,Medium,Large,Large,0.0,Small,Large,Large
M100-C040-R_CRA_C Cliff's delta,0.3488888888888889,1.0,0.3622222222222222,0.16666666666666666,-0.042222222222222223,-0.17333333333333334,0.9022222222222223,0.9977777777777778,0.37555555555555553,0.5111111111111111,0.7533333333333333,0.0,0.13111111111111112,0.9044444444444445,0.9822222222222222
M100-C060-R_CRA_C P Value,0.11707984600504451,2.8719471245608474E-11,0.08634644641194689,0.8015549378818438,0.25495317799825334,0.05843684682842065,4.3733050514305205E-9,3.878719567751432E-11,0.08106110555538915,0.00712883007556131,4.914908594111367E-6,0.38305504584585626,1.0,2.3306153673630092E-9,7.033940097045388E-11
M100-C060-R_CRA_C Cohen D,Small,Large,Small,0.0648629971707486,Small,Medium,Large,Large,Medium,Medium,Large,Small,0.0,Large,Large
M100-C060-R_CRA_C Cliff's delta,0.23555555555555555,1.0,0.2577777777777778,0.03777777777777778,-0.1711111111111111,-0.28444444444444444,0.8822222222222222,0.9933333333333333,0.26222222222222225,0.40444444444444444,0.6866666666666666,-0.13111111111111112,0.0,0.8977777777777778,0.98
M090-C020-R_CRA_C P Value,3.495926204077904E-8,2.8719471245608474E-11,7.4385870796334075E-9,3.3436436952527515E-9,1.618971068317876E-9,1.2291146989085178E-9,0.021089946407876425,0.2088709239186618,1.930892434831577E-8,2.103121132801533E-8,2.7769585786430184E-6,1.773927782444673E-9,2.3306153673630092E-9,1.0,0.6897609572758945
M090-C020-R_CRA_C Cohen D,Large,Large,Large,Large,Large,Large,Small,Small,Large,Large,Large,Large,Large,0.0,Small
M090-C020-R_CRA_C Cliff's delta,-0.8288888888888889,1.0,-0.8688888888888889,-0.8888888888888888,-0.9066666666666666,-0.9133333333333333,0.3466666666666667,0.18888888888888888,-0.8444444444444444,-0.8422222222222222,-0.7044444444444444,-0.9044444444444445,-0.8977777777777778,0.0,0.06
M080-C020-R_CRA_C P Value,2.128392351252728E-9,2.8719471245608474E-11,2.4878743509759715E-10,7.033940097045388E-11,5.772982092366874E-11,4.734024283692406E-11,0.2804704772772293,0.35933426453934403,9.313468884997178E-10,6.414635489448983E-10,4.2752810314183876E-7,6.373035432716279E-11,7.033940097045388E-11,0.6897609572758945,1.0
M080-C020-R_CRA_C Cohen D,Large,Large,Large,Large,Large,Large,0.01703869632478903,0.13183069311787213,Large,Large,Large,Large,Large,Small,0.0
M080-C020-R_CRA_C Cliff's delta,-0.9,1.0,-0.9511111111111111,-0.98,-0.9844444444444445,-0.9888888888888889,0.1622222222222222,0.13777777777777778,-0.92,-0.9288888888888889,-0.76,-0.9822222222222222,-0.98,-0.06,0.0
